annotation_id,rubric_item_id,score_order,raw_value,awarded_points
annotation_000004,rubric_item_000353,1,1,1
annotation_000004,rubric_item_000354,2,0,0
annotation_000004,rubric_item_000355,3,1,1
annotation_000004,rubric_item_000356,4,1,1
annotation_000004,rubric_item_000357,5,0,0
annotation_000004,rubric_item_000358,6,1,1
annotation_000004,rubric_item_000359,7,0,0
annotation_000004,rubric_item_000360,8,3,-1.5
annotation_000005,rubric_item_000353,1,0,0
annotation_000005,rubric_item_000354,2,1,1
annotation_000005,rubric_item_000355,3,1,1
annotation_000005,rubric_item_000356,4,1,1
annotation_000005,rubric_item_000357,5,1,1
annotation_000005,rubric_item_000358,6,1,1
annotation_000005,rubric_item_000359,7,0,0
annotation_000005,rubric_item_000360,8,0,0
annotation_000006,rubric_item_000353,1,1,1
annotation_000006,rubric_item_000354,2,0,0
annotation_000006,rubric_item_000355,3,1,1
annotation_000006,rubric_item_000356,4,1,1
annotation_000006,rubric_item_000357,5,1,1
annotation_000006,rubric_item_000358,6,1,1
annotation_000006,rubric_item_000359,7,0,0
annotation_000006,rubric_item_000360,8,0,0
annotation_000010,rubric_item_000291,1,1,1
annotation_000010,rubric_item_000292,2,1,1
annotation_000010,rubric_item_000293,3,1,1
annotation_000010,rubric_item_000294,4,1,1
annotation_000010,rubric_item_000295,5,1,1
annotation_000010,rubric_item_000296,6,1,2
annotation_000010,rubric_item_000297,7,0,0
annotation_000010,rubric_item_000298,8,2,-1
annotation_000011,rubric_item_000291,1,1,1
annotation_000011,rubric_item_000292,2,1,1
annotation_000011,rubric_item_000293,3,1,1
annotation_000011,rubric_item_000294,4,1,1
annotation_000011,rubric_item_000295,5,1,1
annotation_000011,rubric_item_000296,6,1,2
annotation_000011,rubric_item_000297,7,0,0
annotation_000011,rubric_item_000298,8,0,0
annotation_000012,rubric_item_000291,1,1,1
annotation_000012,rubric_item_000292,2,1,1
annotation_000012,rubric_item_000293,3,0,0
annotation_000012,rubric_item_000294,4,1,1
annotation_000012,rubric_item_000295,5,1,1
annotation_000012,rubric_item_000296,6,1,2
annotation_000012,rubric_item_000297,7,0,0
annotation_000012,rubric_item_000298,8,0,0
annotation_000016,rubric_item_000157,1,1,1
annotation_000016,rubric_item_000158,2,1,1
annotation_000016,rubric_item_000159,3,0,0
annotation_000016,rubric_item_000160,4,0,0
annotation_000016,rubric_item_000161,5,1,1
annotation_000016,rubric_item_000162,6,1,1
annotation_000016,rubric_item_000163,7,1,1
annotation_000016,rubric_item_000164,8,0,0
annotation_000016,rubric_item_000165,9,0,0
annotation_000016,rubric_item_000166,10,1,1
annotation_000016,rubric_item_000167,11,0,0
annotation_000016,rubric_item_000168,12,1,1
annotation_000016,rubric_item_000169,13,1,1
annotation_000016,rubric_item_000170,14,1,1
annotation_000016,rubric_item_000171,15,1,1
annotation_000016,rubric_item_000172,16,0,0
annotation_000016,rubric_item_000173,17,0,0
annotation_000017,rubric_item_000157,1,1,1
annotation_000017,rubric_item_000158,2,1,1
annotation_000017,rubric_item_000159,3,0,0
annotation_000017,rubric_item_000160,4,1,1
annotation_000017,rubric_item_000161,5,1,1
annotation_000017,rubric_item_000162,6,0,0
annotation_000017,rubric_item_000163,7,0,0
annotation_000017,rubric_item_000164,8,0,0
annotation_000017,rubric_item_000165,9,0,0
annotation_000017,rubric_item_000166,10,1,1
annotation_000017,rubric_item_000167,11,1,1
annotation_000017,rubric_item_000168,12,1,1
annotation_000017,rubric_item_000169,13,1,1
annotation_000017,rubric_item_000170,14,1,1
annotation_000017,rubric_item_000171,15,1,1
annotation_000017,rubric_item_000172,16,0,0
annotation_000017,rubric_item_000173,17,0,0
annotation_000018,rubric_item_000157,1,1,1
annotation_000018,rubric_item_000158,2,1,1
annotation_000018,rubric_item_000159,3,0,0
annotation_000018,rubric_item_000160,4,0,0
annotation_000018,rubric_item_000161,5,0,0
annotation_000018,rubric_item_000162,6,1,1
annotation_000018,rubric_item_000163,7,0,0
annotation_000018,rubric_item_000164,8,0,0
annotation_000018,rubric_item_000165,9,0,0
annotation_000018,rubric_item_000166,10,1,1
annotation_000018,rubric_item_000167,11,1,1
annotation_000018,rubric_item_000168,12,1,1
annotation_000018,rubric_item_000169,13,1,1
annotation_000018,rubric_item_000170,14,1,1
annotation_000018,rubric_item_000171,15,1,1
annotation_000018,rubric_item_000172,16,0,0
annotation_000018,rubric_item_000173,17,0,0
annotation_000019,rubric_item_000174,1,1,1
annotation_000019,rubric_item_000175,2,1,1
annotation_000019,rubric_item_000176,3,1,1
annotation_000019,rubric_item_000177,4,0,0
annotation_000019,rubric_item_000178,5,0,0
annotation_000019,rubric_item_000179,6,1,1
annotation_000019,rubric_item_000180,7,1,1
annotation_000019,rubric_item_000181,8,1,1
annotation_000019,rubric_item_000182,9,1,1
annotation_000019,rubric_item_000183,10,1,1
annotation_000019,rubric_item_000184,11,1,1
annotation_000019,rubric_item_000185,12,0,0
annotation_000019,rubric_item_000186,13,0,0
annotation_000019,rubric_item_000187,14,1,1
annotation_000019,rubric_item_000188,15,0,0
annotation_000019,rubric_item_000189,16,1,1
annotation_000019,rubric_item_000190,17,0,0
annotation_000019,rubric_item_000191,18,1,1
annotation_000019,rubric_item_000192,19,1,1
annotation_000019,rubric_item_000193,20,1,1
annotation_000019,rubric_item_000194,21,0,0
annotation_000019,rubric_item_000195,22,1,1
annotation_000019,rubric_item_000196,23,0,0
annotation_000019,rubric_item_000197,24,0,0
annotation_000020,rubric_item_000174,1,1,1
annotation_000020,rubric_item_000175,2,1,1
annotation_000020,rubric_item_000176,3,1,1
annotation_000020,rubric_item_000177,4,0,0
annotation_000020,rubric_item_000178,5,0,0
annotation_000020,rubric_item_000179,6,1,1
annotation_000020,rubric_item_000180,7,1,1
annotation_000020,rubric_item_000181,8,1,1
annotation_000020,rubric_item_000182,9,1,1
annotation_000020,rubric_item_000183,10,1,1
annotation_000020,rubric_item_000184,11,1,1
annotation_000020,rubric_item_000185,12,0,0
annotation_000020,rubric_item_000186,13,0,0
annotation_000020,rubric_item_000187,14,1,1
annotation_000020,rubric_item_000188,15,0,0
annotation_000020,rubric_item_000189,16,1,1
annotation_000020,rubric_item_000190,17,0,0
annotation_000020,rubric_item_000191,18,1,1
annotation_000020,rubric_item_000192,19,1,1
