output_id,task_id,quality_level
output_000001,task_001,intermediate
output_000002,task_001,intermediate
output_000003,task_001,intermediate
output_000004,task_001,intermediate
output_000005,task_001,intermediate
output_000006,task_001,intermediate
output_000007,task_001,intermediate
output_000008,task_001,intermediate
output_000009,task_001,intermediate
output_000010,task_001,intermediate
output_000011,task_001,intermediate
output_000012,task_001,intermediate
output_000013,task_001,intermediate
output_000014,task_001,intermediate
output_000015,task_001,intermediate
output_000016,task_001,intermediate
output_000017,task_001,intermediate
output_000018,task_001,intermediate
output_000019,task_001,intermediate
output_000020,task_001,intermediate
output_000021,task_001,intermediate
output_000022,task_001,intermediate
output_000023,task_001,intermediate
output_000024,task_001,intermediate
output_000025,task_001,intermediate
output_000026,task_001,intermediate
output_000027,task_001,good
output_000028,task_001,good
output_000029,task_001,good
output_000030,task_001,good
output_000031,task_001,good
output_000032,task_001,good
output_000033,task_001,good
output_000034,task_001,good
output_000035,task_001,good
output_000036,task_001,good
output_000037,task_001,good
output_000038,task_001,good
output_000039,task_001,good
output_000040,task_001,good
output_000041,task_001,good
output_000042,task_001,good
output_000043,task_001,good
output_000044,task_001,good
output_000045,task_001,good
output_000046,task_001,good
output_000047,task_001,good
output_000048,task_001,excellent
output_000049,task_001,excellent
output_000050,task_001,excellent
output_000051,task_001,excellent
output_000052,task_001,excellent
output_000053,task_001,excellent
output_000054,task_001,excellent
output_000055,task_001,excellent
output_000056,task_001,excellent
output_000057,task_001,excellent
output_000058,task_001,excellent
output_000059,task_001,excellent
output_000060,task_001,excellent
output_000061,task_001,excellent
output_000062,task_001,excellent
output_000063,task_001,excellent
output_000064,task_001,excellent
output_000065,task_001,excellent
output_000066,task_001,excellent
output_000067,task_001,excellent
output_000068,task_001,excellent
output_000069,task_001,excellent
output_000070,task_001,excellent
output_000071,task_001,excellent
output_000072,task_001,excellent
output_000073,task_001,excellent
output_000074,task_002,intermediate
output_000075,task_002,intermediate
output_000076,task_002,intermediate
output_000077,task_002,intermediate
output_000078,task_002,intermediate
output_000079,task_002,intermediate
output_000080,task_002,intermediate
output_000081,task_002,intermediate
output_000082,task_002,intermediate
output_000083,task_002,intermediate
output_000084,task_002,intermediate
output_000085,task_002,intermediate
output_000086,task_002,intermediate
output_000087,task_002,intermediate
output_000088,task_002,intermediate
output_000089,task_002,intermediate
output_000090,task_002,intermediate
output_000091,task_002,intermediate
output_000092,task_002,intermediate
output_000093,task_002,intermediate
output_000094,task_002,intermediate
output_000095,task_002,intermediate
output_000096,task_002,good
output_000097,task_002,good
output_000098,task_002,good
output_000099,task_002,good
output_000100,task_002,good
output_000101,task_002,good
output_000102,task_002,good
output_000103,task_002,good
output_000104,task_002,good
output_000105,task_002,good
output_000106,task_002,good
output_000107,task_002,good
output_000108,task_002,good
output_000109,task_002,good
output_000110,task_002,good
output_000111,task_002,good
output_000112,task_002,good
output_000113,task_002,good
output_000114,task_002,good
output_000115,task_002,good
output_000116,task_002,good
output_000117,task_002,good
output_000118,task_002,good
output_000119,task_002,good
output_000120,task_002,good
output_000121,task_002,excellent
output_000122,task_002,excellent
output_000123,task_002,excellent
output_000124,task_002,excellent
output_000125,task_002,excellent
output_000126,task_002,excellent
output_000127,task_002,excellent
output_000128,task_002,excellent
output_000129,task_002,excellent
output_000130,task_002,excellent
output_000131,task_002,excellent
output_000132,task_002,excellent
output_000133,task_002,excellent
output_000134,task_002,excellent
output_000135,task_002,excellent
output_000136,task_002,excellent
output_000137,task_002,excellent
output_000138,task_002,excellent
output_000139,task_002,excellent
output_000140,task_002,excellent
output_000141,task_002,excellent
output_000142,task_002,excellent
output_000143,task_002,excellent
output_000144,task_002,excellent
output_000145,task_002,excellent
