dataset,task_order,policy,budget_share,seeds,budget_cap,n_tasks,n_criteria,inference_kind,actual_queries_median,actual_queries_p05,actual_queries_p95,certified_tasks_median,certified_tasks_p05,certified_tasks_p95,residual_errors_median,residual_errors_p05,residual_errors_p95,pass_width_median,pass_width_p05,pass_width_p95,accuracy_ci_width_median,accuracy_ci_width_p05,accuracy_ci_width_p95,sample_agreement_median,sample_agreement_p05,sample_agreement_p95,accuracy_bias,accuracy_rmse,accuracy_within_half_pp,accuracy_interval_covered
DR Gemini 3.1 Pro,release,random_criterion,0.006,31,10,284,1615,exact_conditional_SRS,10.0,10.0,10.0,6.0,4.0,8.5,10.0,10.0,10.0,0.9788732394366197,0.9700704225352113,0.9859154929577465,0.4408668730650155,0.3071207430340557,0.5287925696594427,0.9,0.8,1.0,0.01301308299211024,0.06691302426248766,0,31
DR Gemini 3.1 Pro,release,sc_judge,0.006,31,10,284,1615,logical_bounds_or_census,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,0.9647887323943662,0.9647887323943662,0.9683098591549296,0.9938080495356038,0.9938080495356038,0.9938080495356038,1.0,0.9,1.0,,,,31
DR Gemini 3.1 Pro,release,sc50_then_srs,0.006,31,10,284,1615,exact_conditional_SRS,10.0,10.0,10.0,8.0,6.0,9.0,10.0,9.5,10.0,0.971830985915493,0.9683098591549296,0.9788732394366197,0.5195046439628483,0.5195046439628483,0.7969040247678019,0.9,0.8,1.0,-0.022291021671826644,0.13460916442518792,0,31
DR Gemini 3.1 Pro,release,random_criterion,0.05,31,81,284,1615,exact_conditional_SRS,81.0,81.0,81.0,44.0,38.0,49.0,10.0,8.5,10.0,0.8450704225352113,0.8274647887323944,0.8661971830985915,0.12260061919504639,0.08699690402476778,0.15603715170278631,0.9259259259259259,0.8641975308641976,0.9691358024691358,-0.0009654116315457031,0.03063629452310306,6,28
DR Gemini 3.1 Pro,release,sc_judge,0.05,31,81,284,1615,logical_bounds_or_census,81.0,81.0,81.0,76.0,74.0,77.0,10.0,10.0,10.0,0.7323943661971831,0.7288732394366197,0.7394366197183099,0.9498452012383901,0.94984520123839,0.9498452012383901,0.9876543209876543,0.9629629629629629,1.0,,,,31
DR Gemini 3.1 Pro,release,sc50_then_srs,0.05,31,81,284,1615,exact_conditional_SRS,81.0,81.0,81.0,55.0,50.5,59.0,10.0,9.0,10.0,0.8063380281690141,0.7922535211267606,0.8221830985915493,0.17708978328173375,0.12321981424148609,0.2256965944272446,0.9506172839506173,0.9197530864197531,0.9876543209876543,-0.0006036055566787926,0.038019030183469624,11,31
DR Gemini 3.1 Pro,release,random_criterion,0.2,31,323,284,1615,exact_conditional_SRS,323.0,323.0,323.0,131.0,118.5,136.0,8.0,5.5,9.0,0.5387323943661971,0.5211267605633803,0.5827464788732395,0.05510835913312684,0.04767801857585141,0.05975232198142416,0.9195046439628483,0.9040247678018576,0.9427244582043344,-0.0037950664136622756,0.013710977570542722,7,30
DR Gemini 3.1 Pro,release,sc_judge,0.2,31,323,284,1615,logical_bounds_or_census,323.0,323.0,323.0,275.0,271.5,278.5,1.0,1.0,2.0,0.03169014084507042,0.019366197183098594,0.04401408450704225,0.8,0.7999999999999999,0.8,0.9566563467492261,0.9458204334365325,0.9628482972136223,,,,31
DR Gemini 3.1 Pro,release,sc50_then_srs,0.2,31,323,284,1615,exact_conditional_SRS,323.0,323.0,323.0,169.0,165.5,177.0,9.0,6.0,9.0,0.40492957746478875,0.3767605633802817,0.41725352112676056,0.07616099071207427,0.0619195046439629,0.0851393188854489,0.9504643962848297,0.9396284829721362,0.9659442724458205,0.002608707445752593,0.015420416343702874,8,30
DR Gemini 3.1 Pro,release,random_criterion,0.5,31,808,284,1615,exact_conditional_SRS,808.0,808.0,808.0,215.0,204.5,221.5,5.0,2.0,7.0,0.24295774647887325,0.22007042253521125,0.27992957746478875,0.026625386996903977,0.025077399380804943,0.02786377708978327,0.9257425742574258,0.916460396039604,0.9313118811881189,-0.001071873890674811,0.005444647531641271,21,30
DR Gemini 3.1 Pro,release,sc_judge,0.5,31,808,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
