dataset,task_order,policy,seed,extra_judge_runs,criterion_errors_found,certified_tasks,residual_fp,residual_ff,introduced_fp,fixed_initial_fp,fixed_initial_ff,tasks_touched,new_fp_events,certified_initial_ff,budget_share,budget_cap,actual_queries,n_tasks,n_criteria,primary_criterion_errors,initial_task_errors,residual_errors,uncertified_tasks,unused_budget,gated_residual_fp,gated_residual_ff,gated_residual_errors,delayed_ff_corrections
DR Gemini 3.1 Pro,release,random_criterion,0,0,25,129,6,1,0,2,1,173,0,0,0.2,323,323,284,1615,120,10,7,155,0,6,2,8,1
DR Gemini 3.1 Pro,release,sc_natural,0,0,22,191,6,1,0,2,1,192,0,1,0.2,323,323,284,1615,120,10,7,93,0,6,1,7,0
DR Gemini 3.1 Pro,release,sc_random,0,0,23,199,5,1,0,3,1,200,0,1,0.2,323,323,284,1615,120,10,6,85,0,5,1,6,0
DR Gemini 3.1 Pro,release,sc_judge,0,0,11,276,0,1,0,8,1,276,0,1,0.2,323,323,284,1615,120,10,1,8,0,0,1,1,0
DR Gemini 3.1 Pro,release,disagreement_only,0,2,83,160,1,0,0,7,2,183,0,0,0.2,323,322,284,1615,120,10,1,124,1,1,2,3,2
DR Gemini 3.1 Pro,release,disagreement_then_random,0,2,83,160,1,0,0,7,2,183,0,0,0.2,323,323,284,1615,120,10,1,124,0,1,2,3,2
DR Gemini 3.1 Pro,release,sc_disagreement,0,2,39,263,1,1,0,7,1,263,0,1,0.2,323,323,284,1615,120,10,2,21,0,1,1,2,0
DR Gemini 3.1 Pro,predicted_fail_count,random_criterion,0,0,25,129,6,1,0,2,1,173,0,0,0.2,323,323,284,1615,120,10,7,155,0,6,2,8,1
DR Gemini 3.1 Pro,predicted_fail_count,sc_natural,0,0,27,176,0,0,0,8,2,177,0,2,0.2,323,323,284,1615,120,10,0,108,0,0,0,0,0
DR Gemini 3.1 Pro,predicted_fail_count,sc_random,0,0,29,184,0,0,0,8,2,185,0,2,0.2,323,323,284,1615,120,10,0,100,0,0,0,0,0
DR Gemini 3.1 Pro,predicted_fail_count,sc_judge,0,0,13,270,0,0,0,8,2,270,0,2,0.2,323,323,284,1615,120,10,0,14,0,0,0,0,0
DR Gemini 3.1 Pro,predicted_fail_count,disagreement_only,0,2,83,160,1,0,0,7,2,183,0,0,0.2,323,322,284,1615,120,10,1,124,1,1,2,3,2
DR Gemini 3.1 Pro,predicted_fail_count,disagreement_then_random,0,2,83,160,1,0,0,7,2,183,0,0,0.2,323,323,284,1615,120,10,1,124,0,1,2,3,2
DR Gemini 3.1 Pro,predicted_fail_count,sc_disagreement,0,2,38,252,0,0,0,8,2,252,0,2,0.2,323,323,284,1615,120,10,0,32,0,0,0,0,0
DR Gemini 3.1 Pro,random,random_criterion,0,0,25,129,6,1,0,2,1,173,0,0,0.2,323,323,284,1615,120,10,7,155,0,6,2,8,1
DR Gemini 3.1 Pro,random,sc_natural,0,0,24,189,1,1,0,7,1,189,0,1,0.2,323,323,284,1615,120,10,2,95,0,1,1,2,0
DR Gemini 3.1 Pro,random,sc_random,0,0,27,196,1,1,0,7,1,197,0,1,0.2,323,323,284,1615,120,10,2,88,0,1,1,2,0
DR Gemini 3.1 Pro,random,sc_judge,0,0,13,271,0,0,0,8,2,271,0,2,0.2,323,323,284,1615,120,10,0,13,0,0,0,0,0
DR Gemini 3.1 Pro,random,disagreement_only,0,2,83,160,1,0,0,7,2,183,0,0,0.2,323,322,284,1615,120,10,1,124,1,1,2,3,2
DR Gemini 3.1 Pro,random,disagreement_then_random,0,2,83,160,1,0,0,7,2,183,0,0,0.2,323,323,284,1615,120,10,1,124,0,1,2,3,2
DR Gemini 3.1 Pro,random,sc_disagreement,0,2,37,255,1,1,0,7,1,255,0,1,0.2,323,323,284,1615,120,10,2,29,0,1,1,2,0
DR Qwen-plus,release,random_criterion,0,0,66,129,25,1,2,5,2,173,2,0,0.2,323,323,284,1615,285,31,26,155,0,23,3,26,2
DR Qwen-plus,release,sc_natural,0,0,47,191,16,1,0,12,2,192,0,2,0.2,323,323,284,1615,285,31,17,93,0,16,1,17,0
DR Qwen-plus,release,sc_random,0,0,62,199,15,1,0,13,2,200,2,2,0.2,323,323,284,1615,285,31,16,85,0,15,1,16,0
DR Qwen-plus,release,sc_judge,0,0,38,261,6,0,0,22,3,262,4,3,0.2,323,323,284,1615,285,31,6,23,0,6,0,6,0
DR Qwen-plus,release,disagreement_only,0,2,248,160,1,0,0,27,3,183,1,0,0.2,323,322,284,1615,285,31,1,124,1,1,3,4,3
DR Qwen-plus,release,disagreement_then_random,0,2,248,160,1,0,0,27,3,183,1,0,0.2,323,323,284,1615,285,31,1,124,0,1,3,4,3
DR Qwen-plus,release,sc_disagreement,0,2,138,263,6,0,0,22,3,263,1,3,0.2,323,323,284,1615,285,31,6,21,0,6,0,6,0
DR Qwen-plus,predicted_fail_count,random_criterion,0,0,66,129,25,1,2,5,2,173,2,0,0.2,323,323,284,1615,285,31,26,155,0,23,3,26,2
DR Qwen-plus,predicted_fail_count,sc_natural,0,0,70,181,0,0,0,28,3,182,1,3,0.2,323,323,284,1615,285,31,0,103,0,0,0,0,0
DR Qwen-plus,predicted_fail_count,sc_random,0,0,72,183,0,0,0,28,3,183,3,3,0.2,323,323,284,1615,285,31,0,101,0,0,0,0,0
DR Qwen-plus,predicted_fail_count,sc_judge,0,0,48,250,0,0,0,28,3,250,5,3,0.2,323,323,284,1615,285,31,0,34,0,0,0,0,0
DR Qwen-plus,predicted_fail_count,disagreement_only,0,2,248,160,1,0,0,27,3,183,1,0,0.2,323,322,284,1615,285,31,1,124,1,1,3,4,3
DR Qwen-plus,predicted_fail_count,disagreement_then_random,0,2,248,160,1,0,0,27,3,183,1,0,0.2,323,323,284,1615,285,31,1,124,0,1,3,4,3
DR Qwen-plus,predicted_fail_count,sc_disagreement,0,2,132,252,0,0,0,28,3,252,1,3,0.2,323,323,284,1615,285,31,0,32,0,0,0,0,0
DR Qwen-plus,random,random_criterion,0,0,66,129,25,1,2,5,2,173,2,0,0.2,323,323,284,1615,285,31,26,155,0,23,3,26,2
DR Qwen-plus,random,sc_natural,0,0,52,189,11,1,0,17,2,189,1,2,0.2,323,323,284,1615,285,31,12,95,0,11,1,12,0
DR Qwen-plus,random,sc_random,0,0,66,196,9,1,0,19,2,197,3,2,0.2,323,323,284,1615,285,31,10,88,0,9,1,10,0
DR Qwen-plus,random,sc_judge,0,0,43,254,2,1,0,26,2,254,4,2,0.2,323,323,284,1615,285,31,3,30,0,2,1,3,0
DR Qwen-plus,random,disagreement_only,0,2,248,160,1,0,0,27,3,183,1,0,0.2,323,322,284,1615,285,31,1,124,1,1,3,4,3
DR Qwen-plus,random,disagreement_then_random,0,2,248,160,1,0,0,27,3,183,1,0,0.2,323,323,284,1615,285,31,1,124,0,1,3,4,3
DR Qwen-plus,random,sc_disagreement,0,2,135,255,2,1,0,26,2,255,1,2,0.2,323,323,284,1615,285,31,3,29,0,2,1,3,0
AC Qwen-plus,release,random_criterion,0,0,28,34,21,7,1,11,3,122,1,0,0.2,169,169,210,843,102,41,28,176,0,20,10,30,3
