annotation_id,corresponding_annotator_id,annotation_order,task_id,task_slot_order,method_step_order,output_id,output_quality_level,output_quality_level_order,rubric_total_points,rubric_max_points
autograder_annotation_000004,annotator_001,4,task_025,2,1,output_001850,good,2,2.5,6
autograder_annotation_000005,annotator_001,5,task_025,2,2,output_001874,excellent,3,3,6
autograder_annotation_000006,annotator_001,6,task_025,2,3,output_001835,intermediate,1,3.5,6
autograder_annotation_000010,annotator_001,10,task_019,4,1,output_001431,excellent,3,3,7
autograder_annotation_000011,annotator_001,11,task_019,4,2,output_001411,good,2,4,7
autograder_annotation_000012,annotator_001,12,task_019,4,3,output_001396,intermediate,1,3,7
autograder_annotation_000016,annotator_001,16,task_010,6,1,output_000721,intermediate,1,6,15
autograder_annotation_000017,annotator_001,17,task_010,6,2,output_000768,excellent,3,7,15
autograder_annotation_000018,annotator_001,18,task_010,6,3,output_000743,good,2,8.5,15
autograder_annotation_000019,annotator_002,1,task_011,1,1,output_000849,excellent,3,14,22
autograder_annotation_000020,annotator_002,2,task_011,1,2,output_000788,intermediate,1,13,22
autograder_annotation_000021,annotator_002,3,task_011,1,3,output_000807,good,2,15.5,22
autograder_annotation_000025,annotator_002,7,task_020,3,1,output_001460,intermediate,1,5,6
autograder_annotation_000026,annotator_002,8,task_020,3,2,output_001479,good,2,4.5,6
autograder_annotation_000027,annotator_002,9,task_020,3,3,output_001499,excellent,3,4.5,6
autograder_annotation_000031,annotator_002,13,task_030,5,1,output_002233,good,2,15,17
autograder_annotation_000032,annotator_002,14,task_030,5,2,output_002273,excellent,3,13.5,17
autograder_annotation_000033,annotator_002,15,task_030,5,3,output_002195,intermediate,1,13.5,17
autograder_annotation_000037,annotator_002,19,task_019,7,1,output_001428,excellent,3,3,7
autograder_annotation_000038,annotator_002,20,task_019,7,2,output_001387,intermediate,1,-1.5,7
autograder_annotation_000039,annotator_002,21,task_019,7,3,output_001402,good,2,3,7
autograder_annotation_000043,annotator_002,25,task_003,9,1,output_000161,intermediate,1,3.5,14
autograder_annotation_000044,annotator_002,26,task_003,9,2,output_000181,good,2,4,14
autograder_annotation_000045,annotator_002,27,task_003,9,3,output_000199,excellent,3,8,14
autograder_annotation_000049,annotator_002,31,task_002,11,1,output_000090,intermediate,1,16.5,27
autograder_annotation_000050,annotator_002,32,task_002,11,2,output_000097,good,2,13,27
autograder_annotation_000051,annotator_002,33,task_002,11,3,output_000136,excellent,3,13,27
autograder_annotation_000055,annotator_002,37,task_008,13,1,output_000544,intermediate,1,4.5,9
autograder_annotation_000056,annotator_002,38,task_008,13,2,output_000592,excellent,3,5.5,9
autograder_annotation_000057,annotator_002,39,task_008,13,3,output_000571,good,2,5.5,9
autograder_annotation_000061,annotator_002,43,task_010,15,1,output_000751,excellent,3,9,15
autograder_annotation_000062,annotator_002,44,task_010,15,2,output_000712,intermediate,1,8,15
autograder_annotation_000063,annotator_002,45,task_010,15,3,output_000740,good,2,7.5,15
autograder_annotation_000067,annotator_002,49,task_024,17,1,output_001812,excellent,3,-5,3
autograder_annotation_000068,annotator_002,50,task_024,17,2,output_001758,intermediate,1,0,3
autograder_annotation_000069,annotator_002,51,task_024,17,3,output_001775,good,2,-1,3
autograder_annotation_000073,annotator_002,55,task_023,19,1,output_001718,good,2,5.5,9
autograder_annotation_000074,annotator_002,56,task_023,19,2,output_001741,excellent,3,4,9
autograder_annotation_000075,annotator_002,57,task_023,19,3,output_001675,intermediate,1,4.5,9
autograder_annotation_000079,annotator_002,61,task_012,21,1,output_000852,intermediate,1,7.5,12
autograder_annotation_000080,annotator_002,62,task_012,21,2,output_000908,excellent,3,6,12
autograder_annotation_000081,annotator_002,63,task_012,21,3,output_000902,good,2,8.5,12
autograder_annotation_000085,annotator_002,67,task_016,23,1,output_001169,intermediate,1,9,11
autograder_annotation_000086,annotator_002,68,task_016,23,2,output_001200,excellent,3,9.5,11
autograder_annotation_000087,annotator_002,69,task_016,23,3,output_001187,good,2,10.5,11
autograder_annotation_000091,annotator_002,73,task_009,25,1,output_000641,intermediate,1,15,15
autograder_annotation_000092,annotator_002,74,task_009,25,2,output_000674,excellent,3,13,15
autograder_annotation_000093,annotator_002,75,task_009,25,3,output_000664,good,2,13,15
autograder_annotation_000097,annotator_002,79,task_005,27,1,output_000346,good,2,22,26
autograder_annotation_000098,annotator_002,80,task_005,27,2,output_000309,intermediate,1,16,26
autograder_annotation_000099,annotator_002,81,task_005,27,3,output_000371,excellent,3,21.5,26
autograder_annotation_000103,annotator_002,85,task_018,29,1,output_001339,good,2,4.5,13
autograder_annotation_000104,annotator_002,86,task_018,29,2,output_001365,excellent,3,3,13
autograder_annotation_000105,annotator_002,87,task_018,29,3,output_001321,intermediate,1,1,13
autograder_annotation_000112,annotator_004,1,task_006,1,1,output_000420,good,2,11.5,12
autograder_annotation_000113,annotator_004,2,task_006,1,2,output_000394,intermediate,1,11,12
autograder_annotation_000114,annotator_004,3,task_006,1,3,output_000448,excellent,3,11,12
autograder_annotation_000118,annotator_004,7,task_008,3,1,output_000545,intermediate,1,6,9
autograder_annotation_000119,annotator_004,8,task_008,3,2,output_000601,excellent,3,4,9
autograder_annotation_000120,annotator_004,9,task_008,3,3,output_000563,good,2,5.5,9
autograder_annotation_000124,annotator_004,13,task_002,5,1,output_000128,excellent,3,14,27
autograder_annotation_000125,annotator_004,14,task_002,5,2,output_000101,good,2,13.5,27
autograder_annotation_000126,annotator_004,15,task_002,5,3,output_000087,intermediate,1,13.5,27
autograder_annotation_000130,annotator_004,19,task_016,7,1,output_001201,excellent,3,9,11
autograder_annotation_000131,annotator_004,20,task_016,7,2,output_001162,intermediate,1,10,11
autograder_annotation_000132,annotator_004,21,task_016,7,3,output_001180,good,2,11,11
autograder_annotation_000136,annotator_004,25,task_017,9,1,output_001261,good,2,7,15
autograder_annotation_000137,annotator_004,26,task_017,9,2,output_001224,intermediate,1,7,15
autograder_annotation_000138,annotator_004,27,task_017,9,3,output_001277,excellent,3,8,15
autograder_annotation_000142,annotator_004,31,task_018,11,1,output_001334,good,2,0,13
autograder_annotation_000143,annotator_004,32,task_018,11,2,output_001365,excellent,3,3,13
autograder_annotation_000144,annotator_004,33,task_018,11,3,output_001307,intermediate,1,-1,13
autograder_annotation_000148,annotator_004,37,task_022,13,1,output_001636,good,2,16,24
autograder_annotation_000149,annotator_004,38,task_022,13,2,output_001668,excellent,3,13,24
autograder_annotation_000150,annotator_004,39,task_022,13,3,output_001620,intermediate,1,16,24
autograder_annotation_000154,annotator_004,43,task_029,15,1,output_002142,good,2,7,12
autograder_annotation_000155,annotator_004,44,task_029,15,2,output_002122,intermediate,1,8,12
autograder_annotation_000156,annotator_004,45,task_029,15,3,output_002169,excellent,3,9,12
autograder_annotation_000160,annotator_004,49,task_019,17,1,output_001405,good,2,3,7
autograder_annotation_000161,annotator_004,50,task_019,17,2,output_001380,intermediate,1,4,7
autograder_annotation_000162,annotator_004,51,task_019,17,3,output_001438,excellent,3,3,7
autograder_annotation_000166,annotator_004,55,task_028,20,1,output_002097,excellent,3,2,18
