annotation_id,rubric_item_id,score_order,raw_value,awarded_points
autograder_annotation_000004,rubric_item_000353,1,0,0
autograder_annotation_000004,rubric_item_000354,2,1,1.0
autograder_annotation_000004,rubric_item_000355,3,0,0
autograder_annotation_000004,rubric_item_000356,4,1,1.0
autograder_annotation_000004,rubric_item_000357,5,1,1.0
autograder_annotation_000004,rubric_item_000358,6,1,1.0
autograder_annotation_000004,rubric_item_000359,7,0,-0.0
autograder_annotation_000004,rubric_item_000360,8,3,-1.5
autograder_annotation_000005,rubric_item_000353,1,0,0
autograder_annotation_000005,rubric_item_000354,2,1,1.0
autograder_annotation_000005,rubric_item_000355,3,0,0
autograder_annotation_000005,rubric_item_000356,4,1,1.0
autograder_annotation_000005,rubric_item_000357,5,1,1.0
autograder_annotation_000005,rubric_item_000358,6,1,1.0
autograder_annotation_000005,rubric_item_000359,7,0,-0.0
autograder_annotation_000005,rubric_item_000360,8,2,-1.0
autograder_annotation_000006,rubric_item_000353,1,0,0
autograder_annotation_000006,rubric_item_000354,2,1,1.0
autograder_annotation_000006,rubric_item_000355,3,0,0
autograder_annotation_000006,rubric_item_000356,4,1,1.0
autograder_annotation_000006,rubric_item_000357,5,1,1.0
autograder_annotation_000006,rubric_item_000358,6,1,1.0
autograder_annotation_000006,rubric_item_000359,7,0,-0.0
autograder_annotation_000006,rubric_item_000360,8,1,-0.5
autograder_annotation_000010,rubric_item_000291,1,0,0
autograder_annotation_000010,rubric_item_000292,2,0,0
autograder_annotation_000010,rubric_item_000293,3,0,0
autograder_annotation_000010,rubric_item_000294,4,1,1.0
autograder_annotation_000010,rubric_item_000295,5,1,1.0
autograder_annotation_000010,rubric_item_000296,6,1,2.0
autograder_annotation_000010,rubric_item_000297,7,0,-0.0
autograder_annotation_000010,rubric_item_000298,8,2,-1.0
autograder_annotation_000011,rubric_item_000291,1,0,0
autograder_annotation_000011,rubric_item_000292,2,0,0
autograder_annotation_000011,rubric_item_000293,3,1,1.0
autograder_annotation_000011,rubric_item_000294,4,1,1.0
autograder_annotation_000011,rubric_item_000295,5,1,1.0
autograder_annotation_000011,rubric_item_000296,6,1,2.0
autograder_annotation_000011,rubric_item_000297,7,0,-0.0
autograder_annotation_000011,rubric_item_000298,8,2,-1.0
autograder_annotation_000012,rubric_item_000291,1,0,0
autograder_annotation_000012,rubric_item_000292,2,0,0
autograder_annotation_000012,rubric_item_000293,3,0,0
autograder_annotation_000012,rubric_item_000294,4,1,1.0
autograder_annotation_000012,rubric_item_000295,5,1,1.0
autograder_annotation_000012,rubric_item_000296,6,1,2.0
autograder_annotation_000012,rubric_item_000297,7,0,-0.0
autograder_annotation_000012,rubric_item_000298,8,2,-1.0
autograder_annotation_000016,rubric_item_000157,1,1,1.0
autograder_annotation_000016,rubric_item_000158,2,1,1.0
autograder_annotation_000016,rubric_item_000159,3,1,1.0
autograder_annotation_000016,rubric_item_000160,4,0,0
autograder_annotation_000016,rubric_item_000161,5,1,1.0
autograder_annotation_000016,rubric_item_000162,6,0,0
autograder_annotation_000016,rubric_item_000163,7,0,0
autograder_annotation_000016,rubric_item_000164,8,0,0
autograder_annotation_000016,rubric_item_000165,9,0,0
autograder_annotation_000016,rubric_item_000166,10,0,0
autograder_annotation_000016,rubric_item_000167,11,0,0
autograder_annotation_000016,rubric_item_000168,12,0,0
autograder_annotation_000016,rubric_item_000169,13,1,1.0
autograder_annotation_000016,rubric_item_000170,14,1,1.0
autograder_annotation_000016,rubric_item_000171,15,1,1.0
autograder_annotation_000016,rubric_item_000172,16,0,-0.0
autograder_annotation_000016,rubric_item_000173,17,2,-1.0
autograder_annotation_000017,rubric_item_000157,1,1,1.0
autograder_annotation_000017,rubric_item_000158,2,1,1.0
autograder_annotation_000017,rubric_item_000159,3,1,1.0
autograder_annotation_000017,rubric_item_000160,4,0,0
autograder_annotation_000017,rubric_item_000161,5,1,1.0
autograder_annotation_000017,rubric_item_000162,6,1,1.0
autograder_annotation_000017,rubric_item_000163,7,0,0
autograder_annotation_000017,rubric_item_000164,8,0,0
autograder_annotation_000017,rubric_item_000165,9,0,0
autograder_annotation_000017,rubric_item_000166,10,0,0
autograder_annotation_000017,rubric_item_000167,11,0,0
autograder_annotation_000017,rubric_item_000168,12,1,1.0
autograder_annotation_000017,rubric_item_000169,13,1,1.0
autograder_annotation_000017,rubric_item_000170,14,1,1.0
autograder_annotation_000017,rubric_item_000171,15,1,1.0
autograder_annotation_000017,rubric_item_000172,16,0,-0.0
autograder_annotation_000017,rubric_item_000173,17,4,-2.0
autograder_annotation_000018,rubric_item_000157,1,1,1.0
autograder_annotation_000018,rubric_item_000158,2,1,1.0
autograder_annotation_000018,rubric_item_000159,3,1,1.0
autograder_annotation_000018,rubric_item_000160,4,0,0
autograder_annotation_000018,rubric_item_000161,5,1,1.0
autograder_annotation_000018,rubric_item_000162,6,1,1.0
autograder_annotation_000018,rubric_item_000163,7,0,0
autograder_annotation_000018,rubric_item_000164,8,0,0
autograder_annotation_000018,rubric_item_000165,9,0,0
autograder_annotation_000018,rubric_item_000166,10,1,1.0
autograder_annotation_000018,rubric_item_000167,11,0,0
autograder_annotation_000018,rubric_item_000168,12,1,1.0
