rubric_item_id,task_id,item_order,weight,scoring_mode,max_score
rubric_item_000001,task_001,1,2,binary,2
rubric_item_000002,task_001,2,1,binary,1
rubric_item_000003,task_001,3,1,binary,1
rubric_item_000004,task_001,4,1,binary,1
rubric_item_000005,task_001,5,1,binary,1
rubric_item_000006,task_001,6,1,binary,1
rubric_item_000007,task_001,7,1,binary,1
rubric_item_000008,task_001,8,-1,occurrence_count,0
rubric_item_000009,task_001,9,-0.5,occurrence_count,0
rubric_item_000010,task_002,1,1,binary,1
rubric_item_000011,task_002,2,2,binary,2
rubric_item_000012,task_002,3,1,binary,1
rubric_item_000013,task_002,4,1,binary,1
rubric_item_000014,task_002,5,1,binary,1
rubric_item_000015,task_002,6,1,binary,1
rubric_item_000016,task_002,7,1,binary,1
rubric_item_000017,task_002,8,1,binary,1
rubric_item_000018,task_002,9,1,binary,1
rubric_item_000019,task_002,10,1,binary,1
rubric_item_000020,task_002,11,1,binary,1
rubric_item_000021,task_002,12,1,binary,1
rubric_item_000022,task_002,13,1,binary,1
rubric_item_000023,task_002,14,1,binary,1
rubric_item_000024,task_002,15,1,binary,1
rubric_item_000025,task_002,16,1,binary,1
rubric_item_000026,task_002,17,1,binary,1
rubric_item_000027,task_002,18,1,binary,1
rubric_item_000028,task_002,19,1,binary,1
rubric_item_000029,task_002,20,1,binary,1
rubric_item_000030,task_002,21,1,binary,1
rubric_item_000031,task_002,22,1,binary,1
rubric_item_000032,task_002,23,1,binary,1
rubric_item_000033,task_002,24,1,binary,1
rubric_item_000034,task_002,25,1,binary,1
rubric_item_000035,task_002,26,1,binary,1
rubric_item_000036,task_002,27,-1,occurrence_count,0
rubric_item_000037,task_002,28,-0.5,occurrence_count,0
rubric_item_000038,task_003,1,1,binary,1
rubric_item_000039,task_003,2,1,binary,1
rubric_item_000040,task_003,3,1,binary,1
rubric_item_000041,task_003,4,1,binary,1
rubric_item_000042,task_003,5,1,binary,1
rubric_item_000043,task_003,6,1,binary,1
rubric_item_000044,task_003,7,1,binary,1
rubric_item_000045,task_003,8,1,binary,1
rubric_item_000046,task_003,9,1,binary,1
rubric_item_000047,task_003,10,1,binary,1
rubric_item_000048,task_003,11,3,binary,3
rubric_item_000049,task_003,12,1,binary,1
rubric_item_000050,task_003,13,-1,occurrence_count,0
rubric_item_000051,task_003,14,-0.5,occurrence_count,0
